GEM Mine ID,MSHA ID,Country / Area,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),Complex Name,GEM Wiki Page (ENG),GEM Wiki Page (Non-ENG),Status,Status Detail,Project Type,Project Phase,Owners,Owner GEM Entity ID,Owners (Non-ENG),Parent Company,Company HQs,Capacity (Mtpa),Production (Mtpa),Year of Production,"Coal Output (Annual, Mst)",Mine Type,Mining Method,Mine Size (Km2),Mine Depth (m),Depth Accuracy,Workforce Size,Workforce Accuracy,Coal Type,Coal Grade,Percentage of Met Coal,Percentage of Thermal Coal,Accuracy Rating,Reported Year of Percentage Split,"Total Reserves (Proven and Probable, Mt)",Year of Total Reserves Recorded,"Total Resource (Inferred, Indicated, Measured)",Reserve to Production Ratio (R/P),Opening Year,Closing Year,Reported Life of Mine,Reported Year of Mine Life,Coalfield,Location,"Prefecture, District","State, Province",Subregion,Region,Latitude,Longitude,Location Accuracy,"Primary Consumer, Destination","Coal Plant, Steel Plant, Terminal","Coal Plant, Steel Plant, Terminal GEM Wiki",Gas-level Rating,Gas-level Rating Appraisal Year,Reported Coal Mine Methane Emissions (thousand tonnes per year),Year of Reported Coal Mine Methane Emissions,Source ID,Has associated plume data,Has associated CMM mitigation data,GEM Coal Mine Methane Emissions Estimate (MCM/yr),GEM Coal Mine Methane Emissions Estimate (M tonnes/yr),Methane Gas Content (m^3/tonne) (Updated),Methane Emissions Factor (Updated),CMM Emissions (CO2e 20 years),CMM Emissions (CO2e 100 years),ISO Code,opening_year_final,_imputed_flag_year,reserves_initial_EJ
M0001,,Afghanistan,Shabashak Coal Mine,,,,https://www.gem.wiki/Shadashak_Coal_Mine,,Operating,,,,North Coal Enterprise (NCE) [100%],E100000131989 [100%],,North Coal Enterprise (NCE),Afghanistan,,1.1,,,Underground,,,494.0,Estimate,917,Estimate,Bituminous,Met,,,,,,,,,1967,,,,,Shabashak,Dar-l-Suf,Samangan,Southern Asia,Asia,35.863255,67.596674,Approximate,,,,,,,,,,,24.1,0.016,13.7,1.6,1.3,0.5,4,2004,0,
M0002,,Australia,Airly Coal Mine,,,,https://www.gem.wiki/Airly_Mine,,Operating,,,,Centennial Coal Company Pty Ltd [100%],E100001001131 [100%],,Banpu,"Australia, Thailand",1.44,0.65,2023,,Underground,Longwall,,500.0,Estimate,155,Exact,Bituminous,Thermal,,,,,21.0,2023,85.0,32.0,2009,,25,,Western,Capertee,,New South Wales,Australia and New Zealand,Oceania,-33.1130709,150.0149367,Exact,Coal Plant,Mount Piper power station,https://www.gem.wiki/Mount_Piper_power_station,,,0.03,2022,,,,14.3,0.01,13.8,1.6,0.8,0.3,36,2018,0,
M0004,,Australia,Angus Place Coal Mine,Angus Place Mine Extension Project (MPMEP),,,https://www.gem.wiki/Angus_Place_Colliery,,Proposed,Pre-Permit,Expansion,,Boulder Mining Pty Ltd [50%]; Centennial Springvale Pty Ltd [50%],E100000131412 [50%]; E100001001137 [50%],,Banpu,Thailand,2.4,,,,Underground,,104.6,500.0,Estimate,270,Exact,Subbituminous,Thermal,,,,,54.0,,,23.0,,,18,2024,Western,Lithgow,,New South Wales,Australia and New Zealand,Oceania,-33.349157,150.199019,Exact,,,,,,,,,,,17.3,0.012,4.5,1.6,1.0,0.3,36,2004,1,
M0004,,Australia,Angus Place Coal Mine,,,,https://www.gem.wiki/Angus_Place_Colliery,,Mothballed,Care and Maintenance,,,Boulder Mining Pty Ltd [50%]; Centennial Springvale Pty Ltd [50%],E100000131412 [50%]; E100001001137 [50%],,Banpu,Thailand,3,0,,,Underground,,,550.0,Exact,280,Exact,Subbituminous,Thermal,,,,,53.0,,,18.0,,,4,,Western,Lithgow,,New South Wales,Australia and New Zealand,Oceania,-33.351985,150.099356,Exact,,,,,,0.643,2023,,,,0.0,0.0,4.8,1.6,0.0,0.0,36,2004,1,
M0005,,Australia,Appin Coal Mine,"West Cliff, Tower Colliery, Appin North, Appin East, Appin West, BSO Project",,,https://www.gem.wiki/Appin_mine,,Operating,,,,Gear M Illawarra Met Coal Pty Ltd(GM-3) [100%],E100002010038 [100%],,Golden Energy and Resources Pte Ltd (GEAR); M Resources Pty Ltd,Australia,,3.797,2023,,Underground,Longwall,,550.0,Exact,875,Exact,Bituminous,Met,,,,,113.0,,774.0,30.0,1962,,19,,Southern,Appin,,New South Wales,Australia and New Zealand,Oceania,-34.211194,150.792736,Exact,Terminal (Export),Port Kembla Coal Terminal,https://www.gem.wiki/Port_Kembla_Coal_Terminal,,,,,,,Yes,86.9,0.058,14.3,1.6,4.8,1.7,36,2018,0,
M0007,,Australia,Ashton Coal Mine,Watagan,,,https://www.gem.wiki/Ashton_Coal_Mine,,Operating,,,,Ashton Coal Operations [100%],E100001013009 [100%],,Yankuang Energy,"Australia, China",,0.7,2023,,Underground & Surface,Mixed,3.15,200.0,Exact,315,Exact,Bituminous,Met,,,,,18.0,2024,268.0,26.0,2004,,9,,Hunter,Singleton,,New South Wales,Australia and New Zealand,Oceania,-32.468942,151.078493,Exact,Terminal (Export),Port of Newcastle,https://www.gem.wiki/Port_of_Newcastle,,,381.866,2023,,,Yes,9.6,0.006,8.6,1.6,0.5,0.2,36,2018,0,
M0007,,Australia,Ashton Coal Mine,Ashton South East,,,https://www.gem.wiki/Ashton_Coal_Mine,,Cancelled,Permitted,Expansion,,Ashton Coal Operations [100%],E100001013009 [100%],,Yankuang Energy,"Australia, China",1.8,,,,Surface,Open Pit,,60.0,Estimate,160,Exact,Bituminous,Thermal & Met,,,,,,2024,,,2026,,7,,Hunter,Singleton,,New South Wales,Australia and New Zealand,Oceania,-32.468942,151.078493,Exact,Terminal (Export),Port of Newcastle,https://www.gem.wiki/Port_of_Newcastle,,,,,,,,10.1,0.007,3.5,1.6,0.6,0.2,36,2004,0,
M0008,,Australia,Baralaba Coal Mine,Baralaba North,,,https://www.gem.wiki/Baralaba_coal_mine,,Operating,,,,Baralaba Coal Co [100%],E100000131345 [100%],,AMCI Group,USA,1.5,1.58,2024,,Surface,Open Pit,,60.0,Estimate,400,Exact,Bituminous,Thermal & Met,0.9,0.1,Reported,2024.0,97.0,2017,,61.0,2005,,,,Bowen,,,Queensland,Australia and New Zealand,Oceania,-24.13680401,149.7936125,Exact,Terminal (Export),Port of Gladstone,https://www.gem.wiki/Port_of_Gladstone,,,122.385,2023,,,,8.3,0.006,3.5,1.5,0.5,0.2,36,2019,0,
M0008,,Australia,Baralaba Coal Mine,"Baralaba South, BSP",,,https://www.gem.wiki/Baralaba_coal_mine,,Proposed,Pre-Permit,Extension,,Baralaba Coal Co [100%],E100000131345 [100%],,AMCI Group,USA,1.6,,,,Surface,Open Pit,22.14,60.0,Estimate,875,Exact,Bituminous,Thermal & Met,,,,,110.0,2017,,69.0,2028,,19,,Bowen,Baralaba,,Queensland,Australia and New Zealand,Oceania,-24.15411438,149.8027197,Exact,,,,,,,,,,,8.4,0.006,3.5,1.5,0.5,0.2,36,2004,0,
M0009,,Australia,Belview Coal Mine,,,,https://www.gem.wiki/Belview_coal_project,,Shelved,Exploration,New,,Stanmore Resources Ltd [100%],E100001010097 [100%],,Stanmore Resources,Singapore,2,,,,Underground,,,500.0,Estimate,,,Bituminous,Met,,,,,,,330.0,,2027,,,,,Blackwater,,Queensland,Australia and New Zealand,Oceania,-23.587132,148.977385,Exact,Terminal (Export),Port of Gladstone,https://www.gem.wiki/Port_of_Gladstone,,,,,,,,44.2,0.03,13.8,1.6,2.4,0.9,36,2004,0,
