Year,Discoveries (Gb),Discoveries Cumulative (Gb),Production,Production Cumulative,Discovery Production Difference,Production / Cumulative Production (P/Q)
1901,4.9145,4.9145,0.25203,0.25203,4.66247,1.0
1902,1.260126013,6.174626013,0.130306114,0.382336114,5.792289899,0.340815605
1903,0.252025203,6.426651216,0.130306114,0.512642228,5.914008988,0.254185291
1904,2.268226823,8.694878039,0.129665711,0.642307939,8.0525701,0.201874682
1905,2.268226823,10.96310486,0.130306114,0.772614053,10.19049081,0.168656153
1906,0.630063006,11.59316787,0.130306114,0.902920167,10.6902477,0.144316318
1907,0.630063006,12.22323087,0.142905885,1.045826052,11.17740482,0.136644029
1908,0.630063006,12.85329388,0.307341341,1.353167393,11.50012649,0.227127363
1909,1.890189019,14.7434829,0.32198544,1.675152833,13.06833007,0.192212575
1910,2.898289829,17.64177273,0.319862937,1.99501577,15.64675696,0.160331032
1911,2.646264626,20.28803735,0.32198544,2.31700121,17.97103614,0.138966453
1912,2.01620162,22.30423897,0.32198544,2.63898665,19.66525232,0.122011015
1913,1.512151215,23.81639019,0.32198544,2.96097209,20.8554181,0.108743153
1914,2.268226823,26.08461701,0.32198544,3.28295753,22.80165948,0.098077857
1915,2.01620162,28.10081863,0.327306008,3.610263538,24.49055509,0.090659866
1916,3.02430243,31.12512106,0.482778387,4.093041925,27.03207914,0.117951
1917,1.890189019,33.01531008,0.504080799,4.597122724,28.41818736,0.109651369
1918,1.575157516,34.5904676,0.504080799,5.101203523,29.48926407,0.098816053
1919,2.772277228,37.36274483,0.504654969,5.605858492,31.75688633,0.090022781
1920,3.402340234,40.76508506,0.642000017,6.247858509,34.51722655,0.102755211
1921,2.394239424,43.15932448,0.677681077,6.925539586,36.2337849,0.097852459
1922,2.583258326,45.74258281,0.839580363,7.765119949,37.97746286,0.108122008
1923,3.528352835,49.27093564,0.990840254,8.755960203,40.51497544,0.113161804
1924,1.764176418,51.03511206,1.012031013,9.767991216,41.26712085,0.103606872
1925,3.276327633,54.3114397,1.012031013,10.78002223,43.53141747,0.093880234
1926,16.88568857,71.19712827,1.031995375,11.8120176,59.38511066,0.087368256
1927,22.30423042,93.50135869,1.18947348,13.00149108,80.4998676,0.091487467
1928,34.65346535,128.154824,1.207359783,14.20885087,113.9459732,0.084972373
1929,6.300630063,134.4554541,1.34523077,15.55408164,118.9013725,0.086487316
1930,19.909991,154.3654451,1.367263858,16.9213455,137.4440996,0.080801131
1931,2.96129613,157.3267412,1.35424236,18.27558786,139.0511534,0.074101165
1932,5.670567057,162.9973083,1.240836423,19.51642428,143.480884,0.063579086
1933,2.646264626,165.6435729,1.344435835,20.86086011,144.7827128,0.064447766
1934,4.284428443,169.9280014,1.533748033,22.39460815,147.5333932,0.06848738
1935,4.03240324,173.9604046,1.560759998,23.95536814,150.0050365,0.065152829
1936,20.2880288,194.2484334,1.731315635,25.68668378,168.5617496,0.06740129
1937,10.71107111,204.9595045,1.888718731,27.57540251,177.384102,0.06849288
1938,51.03510351,255.994608,1.92346409,29.4988666,226.4957414,0.065204678
