Fuel,Year,Discoveries,Production,Cumulative_Discoveries,Cumulative_Production,Reserves,EI_Reserves,Delta_vs_EI,NegativeFlag
Oil,1900,0.0,0.85,0.0,0.85,-0.85,,,1
Oil,1901,29.97845,0.95,29.97845,1.7999999999999998,28.178449999999998,,,0
Oil,1902,7.6867686793,1.03,37.6652186793,2.83,34.8352186793,,,0
Oil,1903,1.5373537382999998,1.1,39.202572417599995,3.93,35.272572417599996,,,0
Oil,1904,13.8361836203,1.23,53.038756037899994,5.16,47.87875603789999,,,0
Oil,1905,13.8361836203,1.21,66.87493965819999,6.37,60.504939658199994,,,0
Oil,1906,3.8433843366,1.21,70.71832399479999,7.58,63.13832399479999,,,0
Oil,1907,3.8433843366,1.49,74.56170833139998,9.07,65.49170833139999,,,0
Oil,1908,3.8433843366,1.61,78.40509266799998,10.68,67.72509266799997,,,0
Oil,1909,11.530153015899998,1.7,89.93524568389998,12.379999999999999,77.55524568389998,,,0
Oil,1910,17.679567956899998,1.85,107.61481364079998,14.229999999999999,93.38481364079998,,,0
Oil,1911,16.1422142186,1.95,123.75702785939998,16.18,107.57702785939998,,,0
Oil,1912,12.298829881999998,1.99,136.0558577414,18.169999999999998,117.88585774139999,,,0
Oil,1913,9.2241224115,2.19,145.27998015289998,20.36,124.91998015289998,,,0
Oil,1914,13.8361836203,2.26,159.1161637732,22.619999999999997,136.49616377319998,,,0
Oil,1915,12.298829881999998,2.42,171.4149936552,25.04,146.3749936552,,,0
Oil,1916,18.448244823,2.6,189.8632384782,27.64,162.22323847820002,,,0
Oil,1917,11.530153015899998,2.87,201.3933914941,30.51,170.8833914941,,,0
Oil,1918,9.6084608476,2.85,211.0018523417,33.36,177.64185234169997,,,0
Oil,1919,16.9108910908,3.25,227.91274343249998,36.61,191.3027434325,,,0
Oil,1920,20.7542754274,4.16,248.66701885989997,40.769999999999996,207.89701885989996,,,0
Oil,1921,14.604860486399998,4.5,263.27187934629995,45.269999999999996,218.00187934629997,,,0
Oil,1922,15.7578757886,5.03,279.0297551349,50.3,228.72975513489996,,,0
Oil,1923,21.5229522935,5.94,300.55270742839997,56.239999999999995,244.31270742839996,,,0
Oil,1924,10.761476149799998,5.93,311.31418357819996,62.169999999999995,249.14418357819997,,,0
Oil,1925,19.9855985613,6.22,331.29978213949994,68.39,262.90978213949995,,,0
Oil,1926,103.00270027699999,6.38,434.3024824164999,74.77,359.53248241649993,,,0
Oil,1927,136.055805562,7.28,570.3582879784999,82.05,488.3082879784999,,,0
Oil,1928,211.38613863499998,7.65,781.7444266134999,89.7,692.0444266134998,,,0
Oil,1929,38.4338433843,8.57,820.1782699977998,98.27000000000001,721.9082699977998,,,0
Oil,1930,121.4509451,8.18,941.6292150977998,106.45000000000002,835.1792150977998,,,0
Oil,1931,18.063906393,7.91,959.6931214907999,114.36000000000001,845.3331214907998,,,0
Oil,1932,34.5904590477,7.55,994.2835805384999,121.91000000000001,872.3735805384999,,,0
Oil,1933,16.1422142186,8.24,1010.4257947570999,130.15,880.2757947570999,,,0
Oil,1934,26.1350135023,8.7,1036.5608082594,138.85,897.7108082593999,,,0
Oil,1935,24.597659763999996,9.46,1061.1584680233998,148.31,912.8484680233998,,,0
Oil,1936,123.75697567999998,10.3,1184.9154437034,158.61,1026.3054437033998,,,0
Oil,1937,65.337533771,11.73,1250.2529774743998,170.34,1079.9129774744,,,0
Oil,1938,311.31413141099995,11.45,1561.5671088853996,181.79,1379.7771088853997,,,0
Oil,1939,26.903690368399996,11.93,1588.4707992537997,193.72,1394.7507992537996,,,0
Oil,1940,147.20162015399998,12.31,1735.6724194077997,206.03,1529.6424194077997,,,0
Oil,1941,78.405040513,12.68,1814.0774599207996,218.71,1595.3674599207995,,,0
Oil,1942,103.77137713699999,11.94,1917.8488370577995,230.65,1687.1988370577994,,,0
Oil,1943,18.448244823,12.85,1936.2970818807996,243.5,1692.7970818807996,,,0
Oil,1944,52.2700270046,14.75,1988.5671088853996,258.25,1730.3171088853996,,,0
Oil,1945,80.326732663,14.74,2068.8938415483995,272.99,1795.9038415483994,,,0
