Year,Oil_Discoveries,Oil_Cumulative_Discoveries,Oil_Production,Oil_Cumulative_Production,Oil_Reserves,Gas_Discoveries,Gas_Cumulative_Discoveries,Gas_Production,Gas_Cumulative_Production,Gas_Reserves,Coal_Discoveries,Coal_Cumulative_Discoveries,Coal_Production,Coal_Cumulative_Production,Coal_Reserves
1850,,,,,,,,,,,0.17009,0.17009,0.0,0.0,0.17009
1853,,,,,,,,,,,0.1391,0.30918999999999996,0.0,0.0,0.30918999999999996
1869,,,,,,1.2339,1.2339,0.0,0.0,1.2339,,,,,
1871,,,,,,,,,,,0.06767999999999999,0.3768699999999999,0.0,0.0,0.3768699999999999
1873,,,,,,,,,,,0.23040000000000002,0.60727,0.0,0.0,0.60727
1875,,,,,,,,,,,1.44,2.04727,0.0,0.0,2.04727
1881,,,,,,,,,,,4.885000000000001,6.932270000000001,0.0,0.0,6.932270000000001
1887,,,,,,0.25516,1.48906,0.0,0.0,1.48906,,,,,
1888,,,,,,,,,,,1.066,7.998270000000001,0.0,0.0,7.998270000000001
1889,,,,,,0.25516,1.74422,0.0,0.0,1.74422,,,,,
1890,,,,,,0.12758,1.8718000000000001,0.0,0.0,1.8718000000000001,,,,,
1891,,,,,,,,,,,1.128,9.12627,0.0,0.0,9.12627
1899,,,,,,0.12758,1.9993800000000002,0.0,0.0,1.9993800000000002,3.4970000000000003,12.62327,0.0,0.0,12.62327
1900,0.0,0.0,0.85,0.85,-0.85,0.0,1.9993800000000002,0.265825512,0.265825512,1.7335544880000002,0.0,12.62327,19.26,19.26,-6.636730000000002
1901,29.97845,29.97845,0.95,1.7999999999999998,28.178449999999998,0.51032,2.5097,0.29458103,0.560406542,1.949293458,0.0,12.62327,19.61,38.870000000000005,-26.246730000000007
1902,7.6867686793,37.6652186793,1.03,2.83,34.8352186793,0.12758,2.63728,0.323336534,0.883743076,1.753536924,3.7885999999999997,16.41187,20.08,58.95,-42.53813
1903,1.5373537382999998,39.202572417599995,1.1,3.93,35.272572417599996,0.0,2.63728,0.352092042,1.235835118,1.401444882,28.24512,44.65699,21.91,80.86,-36.20301
1904,13.8361836203,53.038756037899994,1.23,5.16,47.87875603789999,0.0,2.63728,0.380847546,1.616682664,1.020597336,4.857,49.51399,22.03,102.89,-53.37601
1905,13.8361836203,66.87493965819999,1.21,6.37,60.504939658199994,0.12758,2.76486,0.40960305,2.026285714,0.738574286,0.0828,49.59679,23.75,126.64,-77.04321
1906,3.8433843366,70.71832399479999,1.21,7.58,63.13832399479999,0.12758,2.89244,0.438358558,2.464644272,0.427795728,0.0,49.59679,25.08,151.72,-102.12321
1907,3.8433843366,74.56170833139998,1.49,9.07,65.49170833139999,0.0,2.89244,0.46711404,2.9317583120000004,-0.039318312000000244,1.3958,50.99259,27.74,179.46,-128.46741
1908,3.8433843366,78.40509266799998,1.61,10.68,67.72509266799997,0.12758,3.02002,0.49586958,3.4276278920000003,-0.40760789200000014,0.9588,51.951389999999996,26.36,205.82,-153.86861
1909,11.530153015899998,89.93524568389998,1.7,12.379999999999999,77.55524568389998,0.0,3.02002,0.524625084,3.9522529760000005,-0.9322329760000003,0.0,51.951389999999996,27.55,233.37,-181.41861
1910,17.679567956899998,107.61481364079998,1.85,14.229999999999999,93.38481364079998,0.0,3.02002,0.5673204,4.519573376,-1.4995533760000002,0.0,51.951389999999996,29.02,262.39,-210.43860999999998
1911,16.1422142186,123.75702785939998,1.95,16.18,107.57702785939998,0.09139010450373455,3.111410104503735,0.597475188,5.117048564,-2.0056384594962653,0.0,51.951389999999996,29.54,291.93,-239.97861
1912,12.298829881999998,136.0558577414,1.99,18.169999999999998,117.88585774139999,5.1854612970724725,8.296871401576208,0.627629976,5.74467854,2.5521928615762084,5.0234,56.97479,31.0,322.93,-265.95521
1913,9.2241224115,145.27998015289998,2.19,20.36,124.91998015289998,0.3467042732937802,8.643575674869988,0.657784764,6.402463303999999,2.2411123708699883,2.678,59.652789999999996,33.22,356.15,-296.49721
1914,13.8361836203,159.1161637732,2.26,22.619999999999997,136.49616377319998,1.4782071976788553,10.121782872548843,0.687939516,7.0904028199999996,3.031380052548844,0.0,59.652789999999996,29.81,385.96,-326.30721
1915,12.298829881999998,171.4149936552,2.42,25.04,146.3749936552,1.4172804613430323,11.539063333891876,0.718094304,7.808497124,3.730566209891877,0.018799999999999997,59.671589999999995,29.34,415.29999999999995,-355.62841
1916,18.448244823,189.8632384782,2.6,27.64,162.22323847820002,6.92247824242885,18.461541576320727,0.748249128,8.556746252,9.904795324320727,0.0,59.671589999999995,31.47,446.77,-387.09841
1917,11.530153015899998,201.3933914941,2.87,30.51,170.8833914941,0.03046336816791152,18.492004944488638,0.778403916,9.335150168,9.156854776488638,6.8448,66.51639,32.77,479.53999999999996,-413.02360999999996
1918,9.6084608476,211.0018523417,2.85,33.36,177.64185234169997,0.4218301045037346,18.91383504899237,0.808558704,10.143708872,8.770126176992372,1.104,67.62039,32.19,511.72999999999996,-444.10961
1919,16.9108910908,227.91274343249998,3.25,36.61,191.3027434325,0.09139010450373455,19.005225153496106,0.838713492,10.982422364,8.022802789496106,0.69,68.31039,27.3,539.03,-470.71961
1920,20.7542754274,248.66701885989997,4.16,40.769999999999996,207.89701885989996,2.098694530195201,21.103919683691306,0.86886828,11.851290643999999,9.252629039691307,7.093500000000001,75.40389,31.29,570.3199999999999,-494.91610999999995
1921,14.604860486399998,263.27187934629995,4.5,45.269999999999996,218.00187934629997,0.06894036073624413,21.17286004442755,0.899023032,12.750313676,8.422546368427552,0.0,75.40389,26.13,596.4499999999999,-521.0461099999999
1922,15.7578757886,279.0297551349,5.03,50.3,228.72975513489996,1.1533028942868129,22.326162938714365,0.95971014,13.710023816,8.616139122714365,0.17390000000000003,75.57779000000001,27.58,624.03,-548.4522099999999
1923,21.5229522935,300.55270742839997,5.94,56.239999999999995,244.31270742839996,0.034470180368122064,22.360633119082486,1.124447292,14.834471107999999,7.526162011082487,0.0,75.57779000000001,32.12,656.15,-580.5722099999999
1924,10.761476149799998,311.31418357819996,5.93,62.169999999999995,249.14418357819997,0.034470180368122064,22.395103299450607,1.289184408,16.123655516,6.271447783450608,1.0116999999999998,76.58949000000001,31.28,687.43,-610.84051
1925,19.9855985613,331.29978213949994,6.22,68.39,262.90978213949995,3.8574090561919725,26.25251235564258,1.45392156,17.577577076,8.674935279642579,0.0,76.58949000000001,31.36,718.79,-642.2005099999999
1926,103.00270027699999,434.3024824164999,6.38,74.77,359.53248241649993,0.1040003636020387,26.35651271924462,1.61865864,19.196235716,7.1602770032446195,8.7498729,85.33936290000001,31.22,750.01,-664.6706371
1927,136.055805562,570.3582879784999,7.28,82.05,488.3082879784999,2.8661563422732814,29.2226690615179,1.783395828,20.979631544,8.243037517517902,0.0,85.33936290000001,33.64,783.65,-698.3106371
1928,211.38613863499998,781.7444266134999,7.65,89.7,692.0444266134998,2.2196054320358116,31.442274493553715,1.94813316,22.927764704,8.514509789553713,0.2068,85.54616290000001,33.04,816.6899999999999,-731.1438370999999
1929,38.4338433843,820.1782699977998,8.57,98.27000000000001,721.9082699977998,0.5789309018406104,32.021205395394325,2.0685816,24.996346304,7.024859091394326,0.0,85.54616290000001,35.14,851.8299999999999,-766.2838370999999
1930,121.4509451,941.6292150977998,8.18,106.45000000000002,835.1792150977998,0.823255608937817,32.84446100433214,2.168638344,27.164984648,5.679476356332138,8.64,94.18616290000001,32.11,883.9399999999999,-789.7538370999999
1931,18.063906393,959.6931214907999,7.91,114.36000000000001,845.3331214907998,0.0513751217875634,32.895836126119704,2.2716864,29.436671048,3.459165078119703,0.69,94.87616290000001,28.32,912.26,-817.3838370999999
1932,34.5904590477,994.2835805384999,7.55,121.91000000000001,872.3735805384999,5.385685039176529,38.28152116529623,2.374734384,31.811405432,6.4701157332962325,2.3124,97.18856290000001,25.18,937.4399999999999,-840.2514371
1933,16.1422142186,1010.4257947570999,8.24,130.15,880.2757947570999,0.12758,38.409101165296235,2.47778244,34.289187872,4.119913293296236,4.614,101.80256290000001,26.36,963.8,-861.9974371
1934,26.1350135023,1036.5608082594,8.7,138.85,897.7108082593999,0.0,38.409101165296235,2.580830424,36.870018296,1.5390828692962373,0.9418,102.74436290000001,28.77,992.5699999999999,-889.8256370999999
