Year,Oil_discoveries_backdated,Oil_discoveries_cumulative_backdated,Oil_production_backdated,Oil_production_cumulative_backdated,Oil_reserves_backdated,Oil_Discoveries,Oil_Cumulative_Discoveries,Oil_Production,Oil_Cumulative_Production,Oil_Reserves,Oil_Discoveries_Adjusted,Oil_Cumulative_Discoveries_Adjusted,Oil_Reserves_Fixed,Gas_Discoveries,Gas_Cumulative_Discoveries,Gas_Production,Gas_Cumulative_Production,Gas_Reserves,Gas_Discoveries_Adjusted,Gas_Cumulative_Discoveries_Adjusted,Gas_Reserves_Fixed,Coal_Discoveries,Coal_Cumulative_Discoveries,Coal_Production,Coal_Cumulative_Production,Coal_Reserves,Coal_Discoveries_Adjusted,Coal_Cumulative_Discoveries_Adjusted,Coal_Reserves_Fixed
1850,,,,,,,,,,,4163.988011029117,4163.988011029117,4163.988011029117,,,,,,2743.408953635961,2743.408953635961,2743.408953635961,0.17009,0.17009,0.0,0.0,0.17009,0.006284328759272594,0.006284328759272594,0.23849585341914203
1853,,,,,,,,,,,0.0,4163.988011029117,4163.988011029117,,,,,,0.0,2743.408953635961,2743.408953635961,0.1391,0.3091899999999999,0.0,0.0,0.3091899999999999,0.01096326518431533,0.017247593943587925,0.4937091699158854
1869,,,,,,,,,,,0.0,4163.988011029117,4163.988011029117,1.2339,1.2339,0.0,0.0,1.2339,0.0,2743.408953635961,2743.408953635961,,,,,,0.6747080436109777,0.6919556375545656,0.7691253835353247
1871,,,,,,,,,,,0.0,4163.988011029117,4163.988011029117,,,,,,0.0,2743.408953635961,2743.408953635961,0.0676799999999999,0.3768699999999999,0.0,0.0,0.3768699999999999,0.5673934818515498,1.2593491194061155,1.2418028484709704
1873,,,,,,,,,,,0.0,4163.988011029117,4163.988011029117,,,,,,0.0,2743.408953635961,2743.408953635961,0.2304,0.60727,0.0,0.0,0.60727,0.6114411186069663,1.8707902380130816,1.848475452788628
1875,,,,,,,,,,,0.0,4163.988011029117,4163.988011029117,,,,,,0.0,2743.408953635961,2743.408953635961,1.44,2.04727,0.0,0.0,2.04727,0.4988814154244205,2.369671653437502,3.2776898565974095
1881,,,,,,,,,,,0.0,4163.988011029117,4163.988011029117,,,,,,0.0,2743.408953635961,2743.408953635961,4.885000000000001,6.932270000000001,0.0,0.0,6.932270000000001,0.6809389620943735,3.050610615531876,5.531728206687773
1887,,,,,,,,,,,0.0,4163.988011029117,4163.988011029117,0.25516,1.48906,0.0,0.0,1.48906,0.0,2743.408953635961,2743.408953635961,,,,,,4.787417041066597,7.838027656598473,8.56540266205267
1888,,,,,,,,,,,0.0,4163.988011029117,4163.988011029117,,,,,,0.0,2743.408953635961,2743.408953635961,1.066,7.998270000000001,0.0,0.0,7.998270000000001,4.691513213259459,12.529540869857932,12.339609723306356
1889,,,,,,,,,,,0.0,4163.988011029117,4163.988011029117,0.25516,1.74422,0.0,0.0,1.74422,0.0,2743.408953635961,2743.408953635961,,,,,,4.509621644979633,17.039162514837564,16.757903721701222
1890,,,,,,,,,,,0.0,4163.988011029117,4163.988011029117,0.12758,1.8718,0.0,0.0,1.8718,0.0,2743.408953635961,2743.408953635961,,,,,,4.201544444868367,21.240706959705932,20.889068226441953
1891,,,,,,,,,,,0.0,4163.988011029117,4163.988011029117,,,,,,0.0,2743.408953635961,2743.408953635961,1.128,9.12627,0.0,0.0,9.12627,3.9013736478002863,25.14208060750622,20.83272754602924
1899,,,,,,,,,,,0.0,4163.988011029117,4163.988011029117,0.12758,1.99938,0.0,0.0,1.99938,0.0,2743.408953635961,2743.408953635961,3.4970000000000003,12.62327,0.0,0.0,12.62327,3.3517695727959027,28.493850180302122,16.67607499140673
1900,,,,,,0.0,0.0,0.85,0.85,-0.85,0.85,4164.838011029117,4163.988011029117,0.0,1.99938,0.265825512,0.265825512,1.7335544880000002,0.265825512,2743.674779147961,2743.408953635961,0.0,12.62327,19.26,19.26,-6.636730000000002,3.013987287492242,31.507837467794364,8.304028363154883
1901,29.97845,29.97845,1.5373829999999997,1.5373829999999997,28.441066999999997,29.97845,29.97845,0.95,1.7999999999999998,28.17845,0.95,4165.788011029117,4163.988011029117,0.51032,2.5097,0.29458103,0.560406542,1.949293458,0.29458103,2743.969360177961,2743.408953635961,0.0,12.62327,19.61,38.870000000000005,-26.246730000000007,3.61806227393064,35.12589974172501,0.0
1902,7.6867686793,37.6652186793,0.7948672954,2.3322502953999997,35.332968383899996,7.6867686793,37.6652186793,1.03,2.83,34.8352186793,1.03,4166.818011029117,4163.988011029117,0.12758,2.63728,0.323336534,0.883743076,1.753536924,0.323336534,2744.292696711961,2743.408953635961,3.7886,16.41187,20.08,58.95,-42.53813,3.204574076721708,38.33047381844671,0.0
1903,1.5373537382999998,39.202572417599995,0.7948672954,3.1271175908,36.0754548268,1.5373537382999998,39.2025724176,1.1,3.93,35.2725724176,1.1,4167.918011029117,4163.988011029117,0.0,2.63728,0.352092042,1.235835118,1.401444882,0.352092042,2744.644788753961,2743.408953635961,28.24512,44.65699,21.91,80.86,-36.20301,2.9603300066125278,41.29080382505924,0.0
1904,13.8361836203,53.0387560379,0.7909608370999999,3.9180784279000003,49.12067761,13.8361836203,53.0387560379,1.23,5.16,47.87875603789999,1.23,4169.148011029117,4163.988011029117,0.0,2.63728,0.380847546,1.616682664,1.020597336,0.380847546,2745.025636299961,2743.408953635961,4.857,49.51399,22.03,102.89,-53.37601,2.3816903673543024,43.672494192413545,0.0
1905,13.8361836203,66.87493964599999,0.7948672954,4.7129457233,62.161993941,13.8361836203,66.87493965819999,1.21,6.37,60.5049396582,1.21,4170.358011029117,4163.988011029117,0.12758,2.76486,0.40960305,2.026285714,0.738574286,0.40960305,2745.435239349961,2743.408953635961,0.0828,49.59679,23.75,126.64,-77.04321,2.273320777415743,45.945814969829286,0.0
1906,3.8433843366,70.71832400699999,0.7948672954,5.507813018699999,65.21051097,3.8433843366,70.71832399479999,1.21,7.58,63.13832399479999,1.21,4171.568011029117,4163.988011029117,0.12758,2.89244,0.438358558,2.464644272,0.427795728,0.438358558,2745.873597907961,2743.408953635961,0.0,49.59679,25.08,151.72,-102.12321,2.0829622084727006,48.028777178301986,0.0
1907,3.8433843366,74.56170830699999,0.8717258985,6.3795389172,68.182169402,3.8433843366,74.56170833139998,1.49,9.07,65.49170833139999,1.49,4173.058011029117,4163.988011029117,0.0,2.89244,0.46711404,2.9317583120000004,-0.0393183120000002,0.46711404,2746.340711947961,2743.408953635961,1.3958,50.99259,27.74,179.46,-128.46741,3.1301439694876385,51.15892114778963,0.0
1908,3.8433843366,78.405092668,1.8747821800999998,8.2543210973,70.15077158899999,3.8433843366,78.40509266799998,1.61,10.68,67.72509266799997,1.61,4174.668011029116,4163.988011029117,0.12758,3.02002,0.49586958,3.4276278920000003,-0.4076078920000001,0.49586958,2746.8365815279612,2743.408953635961,0.9588,51.95139,26.36,205.82,-153.86861,2.8765532910499427,54.03547443883957,0.0
1909,11.530153015899998,89.93524569,1.964111184,10.2184322813,79.71681342699999,11.530153015899998,89.93524568389998,1.7,12.38,77.55524568389998,1.7,4176.368011029116,4163.988011029117,0.0,3.02002,0.524625084,3.952252976000001,-0.9322329760000004,0.524625084,2747.3612066119613,2743.408953635961,0.0,51.95139,27.55,233.37,-181.41861,2.658078817617886,56.693553256457456,0.0
1910,17.679567956899998,107.61481365299998,1.9511639157,12.169596196999999,95.445217456,17.679567956899998,107.61481364079998,1.85,14.23,93.38481364079998,1.85,4178.2180110291165,4163.988011029117,0.0,3.02002,0.5673204,4.519573376,-1.4995533760000002,0.5673204,2747.9285270119613,2743.408953635961,0.0,51.95139,29.02,262.39,-210.43861,2.4226055776429796,59.11615883410043,0.0
1911,16.1422142186,123.75702783499999,1.964111184,14.133707380999999,109.62332045399998,16.1422142186,123.75702785939998,1.95,16.18,107.57702785939998,1.95,4180.168011029116,4163.988011029117,0.0913901045037345,3.111410104503735,0.597475188,5.117048564,-2.0056384594962653,0.597475188,2748.526002199961,2743.408953635961,0.0,51.95139,29.54,291.93,-239.97861,3.3983259953475935,62.51448482944802,0.0
1912,12.298829881999998,136.05585771699998,1.964111184,16.097818565,119.958039152,12.298829881999998,136.0558577414,1.99,18.17,117.8858577414,1.99,4182.158011029116,4163.988011029117,5.1854612970724725,8.296871401576208,0.627629976,5.74467854,2.5521928615762084,0.627629976,2749.1536321759613,2743.408953635961,5.0234,56.97479,31.0,322.93,-265.95521,3.234230472349618,65.74871530179765,0.0
1913,9.2241224115,145.279980159,1.964111184,18.061929748999997,127.21805041,9.2241224115,145.27998015289998,2.19,20.36,124.91998015289998,2.19,4184.348011029116,4163.988011029117,0.3467042732937802,8.643575674869988,0.657784764,6.402463303999999,2.2411123708699883,0.657784764,2749.8114169399614,2743.408953635961,2.678,59.65279,33.22,356.15,-296.49721,3.241084280114821,68.98979958191246,0.0
1914,13.8361836203,159.116163761,1.964111184,20.026040932999997,139.090122828,13.8361836203,159.1161637732,2.26,22.62,136.49616377319998,2.26,4186.608011029116,4163.988011029117,1.4782071976788551,10.121782872548843,0.687939516,7.09040282,3.031380052548844,0.687939516,2750.4993564559613,2743.408953635961,0.0,59.65279,29.81,385.96,-326.30721,3.5872573555057685,72.57705693741823,0.0
