Year,Oil_Discoveries_Fixed,Oil_Cumulative_Discoveries_Fixed,Oil_Production_Fixed,Oil_Cumulative_Production_Fixed,Oil_Reserves_Fixed,Gas_Discoveries_Fixed,Gas_Cumulative_Discoveries_Fixed,Gas_Production_Fixed,Gas_Cumulative_Production_Fixed,Gas_Reserves_Fixed,Coal_Discoveries_Fixed,Coal_Cumulative_Discoveries_Fixed,Coal_Production_Fixed,Coal_Cumulative_Production_Fixed,Coal_Reserves_Fixed,Oil_Discoveries,Oil_Cumulative_Discoveries,Oil_Production,Oil_Cumulative_Production,Oil_Reserves,Gas_Discoveries,Gas_Cumulative_Discoveries,Gas_Production,Gas_Cumulative_Production,Gas_Reserves,Coal_Discoveries,Coal_Cumulative_Discoveries,Coal_Production,Coal_Cumulative_Production,Coal_Reserves
1900,7.600081582800382e-15,7.600081582800382e-15,0.0,0.0,7.600081582800382e-15,0.0,0.0,0.0,0.0,0.0,0.0010345384589686,0.0010345384589686,19.26,19.26,-19.258965461541035,0.0,0.0,0.85,0.85,-0.85,0.0,1.99938,0.265825512,0.265825512,1.7335544880000002,0.0,12.62327,19.26,19.26,-6.636730000000002
1901,2.296999534018714,2.2969995340187217,0.0,0.0,2.2969995340187217,0.2772906676777989,0.2772906676777989,0.0,0.0,0.2772906676777989,0.0016191024969884,0.0026536409559571,19.61,38.870000000000005,-38.86734635904405,29.97845,29.97845,0.95,1.7999999999999998,28.17845,0.51032,2.5097,0.29458103,0.560406542,1.949293458,0.0,12.62327,19.61,38.870000000000005,-26.246730000000007
1902,0.4190029217971497,2.7160024558158717,0.0,0.0,2.7160024558158717,0.0692999840477266,0.3465906517255255,0.0,0.0,0.3465906517255255,3.791116437481631,3.793770078437588,20.08,58.95,-55.156229921562414,7.6867686793,37.6652186793,1.03,2.83,34.8352186793,0.12758,2.63728,0.323336534,0.883743076,1.753536924,3.7886,16.41187,20.08,58.95,-42.53813
1903,7.600072098554274e-15,2.716002455815879,0.0,0.0,2.716002455815879,0.0,0.3465906517255255,0.0,0.0,0.3465906517255255,28.249004024976287,32.04277410341388,21.91,80.86,-48.81722589658612,1.5373537382999998,39.2025724176,1.1,3.93,35.2725724176,0.0,2.63728,0.352092042,1.235835118,1.401444882,28.24512,44.65699,21.91,80.86,-36.20301
1904,7.600065208760157e-15,2.7160024558158864,0.0,0.0,2.7160024558158864,18.380919024729383,18.727509676454908,0.0,0.0,18.727509676454908,4.862953357313501,36.90572746072738,22.03,102.89,-65.98427253927262,13.8361836203,53.0387560379,1.23,5.16,47.87875603789999,0.0,2.63728,0.380847546,1.616682664,1.020597336,4.857,49.51399,22.03,102.89,-53.37601
1905,12.325114889895149,15.041117345711031,0.0,0.0,15.041117345711031,0.0692279140868434,18.796737590541756,0.0,0.0,18.796737590541756,0.0918620394873894,36.997589500214765,23.75,126.64,-89.64241049978523,13.8361836203,66.87493965819999,1.21,6.37,60.5049396582,0.12758,2.76486,0.40960305,2.026285714,0.738574286,0.0828,49.59679,23.75,126.64,-77.04321
1906,0.4186596281015609,15.459776973812597,0.0,0.0,15.459776973812597,0.0692024849457301,18.865940075487483,0.0,0.0,18.865940075487483,0.0136985316514142,37.01128803186618,25.08,151.72,-114.70871196813384,3.8433843366,70.71832399479999,1.21,7.58,63.13832399479999,0.12758,2.89244,0.438358558,2.464644272,0.427795728,0.0,49.59679,25.08,151.72,-102.12321
1907,7.600016567334814e-15,15.459776973812602,0.0,0.0,15.459776973812602,0.0,18.865940075487483,0.0,0.0,18.865940075487483,1.4163639316082794,38.42765196347446,27.74,179.46,-141.03234803652555,3.8433843366,74.56170833139998,1.49,9.07,65.49170833139999,0.0,2.89244,0.46711404,2.9317583120000004,-0.0393183120000002,1.3958,50.99259,27.74,179.46,-128.46741
1908,7.599982966224356e-15,15.459776973812607,0.0,0.0,15.459776973812607,0.5681462376800999,19.434086313167583,0.0,0.0,19.434086313167583,0.989456484432484,39.41710844790694,26.36,205.82,-166.40289155209305,3.8433843366,78.40509266799998,1.61,10.68,67.72509266799997,0.12758,3.02002,0.49586958,3.4276278920000003,-0.4076078920000001,0.9588,51.95139,26.36,205.82,-153.86861
1909,0.6196185613955242,16.079395535208132,0.0,0.0,16.079395535208132,0.0,19.434086313167583,0.0,0.0,19.434086313167583,0.0453860738662115,39.46249452177315,27.55,233.37,-193.90750547822685,11.530153015899998,89.93524568389998,1.7,12.38,77.55524568389998,0.0,3.02002,0.524625084,3.952252976000001,-0.9322329760000004,0.0,51.95139,27.55,233.37,-181.41861
