Fuel,Year,Discoveries,Cumulative_Discoveries,Production,Cumulative_Production,Reserves
Coal,1850,0.17009,0.17009,0.0,0.0,0.17009
Coal,1853,0.1391,0.30918999999999996,0.0,0.0,0.30918999999999996
Coal,1871,0.06767999999999999,0.3768699999999999,0.0,0.0,0.3768699999999999
Coal,1873,0.23040000000000002,0.60727,0.0,0.0,0.60727
Coal,1875,1.44,2.04727,0.0,0.0,2.04727
Coal,1881,4.885000000000001,6.932270000000001,0.0,0.0,6.932270000000001
Coal,1888,1.066,7.998270000000001,0.0,0.0,7.998270000000001
Coal,1891,1.128,9.12627,0.0,0.0,9.12627
Coal,1899,3.4970000000000003,12.62327,0.0,0.0,12.62327
Coal,1900,0.0,12.62327,19.26,19.26,-6.636730000000002
Coal,1901,0.0,12.62327,19.61,38.870000000000005,-26.246730000000007
Coal,1902,3.7885999999999997,16.41187,20.08,58.95,-42.53813
Coal,1903,28.24512,44.65699,21.91,80.86,-36.20301
Coal,1904,4.857,49.51399,22.03,102.89,-53.37601
Coal,1905,0.0828,49.59679,23.75,126.64,-77.04321
Coal,1906,0.0,49.59679,25.08,151.72,-102.12321
Coal,1907,1.3958,50.99259,27.74,179.46,-128.46741
Coal,1908,0.9588,51.951389999999996,26.36,205.82,-153.86861
Coal,1909,0.0,51.951389999999996,27.55,233.37,-181.41861
Coal,1910,0.0,51.951389999999996,29.02,262.39,-210.43860999999998
Coal,1911,0.0,51.951389999999996,29.54,291.93,-239.97861
Coal,1912,5.0234,56.97479,31.0,322.93,-265.95521
Coal,1913,2.678,59.652789999999996,33.22,356.15,-296.49721
Coal,1914,0.0,59.652789999999996,29.81,385.96,-326.30721
Coal,1915,0.018799999999999997,59.671589999999995,29.34,415.29999999999995,-355.62841
Coal,1916,0.0,59.671589999999995,31.47,446.77,-387.09841
Coal,1917,6.8448,66.51639,32.77,479.53999999999996,-413.02360999999996
Coal,1918,1.104,67.62039,32.19,511.72999999999996,-444.10961
Coal,1919,0.69,68.31039,27.3,539.03,-470.71961
Coal,1920,7.093500000000001,75.40389,31.29,570.3199999999999,-494.91610999999995
Coal,1921,0.0,75.40389,26.13,596.4499999999999,-521.0461099999999
Coal,1922,0.17390000000000003,75.57779000000001,27.58,624.03,-548.4522099999999
Coal,1923,0.0,75.57779000000001,32.12,656.15,-580.5722099999999
Coal,1924,1.0116999999999998,76.58949000000001,31.28,687.43,-610.84051
Coal,1925,0.0,76.58949000000001,31.36,718.79,-642.2005099999999
Coal,1926,8.7498729,85.33936290000001,31.22,750.01,-664.6706371
Coal,1927,0.0,85.33936290000001,33.64,783.65,-698.3106371
Coal,1928,0.2068,85.54616290000001,33.04,816.6899999999999,-731.1438370999999
Coal,1929,0.0,85.54616290000001,35.14,851.8299999999999,-766.2838370999999
Coal,1930,8.64,94.18616290000001,32.11,883.9399999999999,-789.7538370999999
Coal,1931,0.69,94.87616290000001,28.32,912.26,-817.3838370999999
Coal,1932,2.3124,97.18856290000001,25.18,937.4399999999999,-840.2514371
Coal,1933,4.614,101.80256290000001,26.36,963.8,-861.9974371
