Year,Oil_Discoveries_Cumulative_Backdated,Oil_Discoveries,Gas_Discoveries,Coal_Discoveries,Oil_Production,Oil_Reserves,Gas_Production,Gas_Reserves,Coal_Production,Coal_Reserves
1900,,7.600081582800382e-15,0.0,0.0010345384589686,0.85,-0.8499999999999924,0.265825512,-0.265825512,19.26,-19.258965461541035
1901,29.97845,2.2969995340187217,0.2772906676777989,0.0026536409559571,1.7999999999999998,0.4969995340187219,0.560406542,-0.28311587432220103,38.870000000000005,-38.86734635904405
1902,37.6652186793,2.7160024558158717,0.3465906517255255,3.793770078437588,2.83,-0.11399754418412833,0.883743076,-0.5371524242744745,58.95,-55.156229921562414
1903,39.202572417599995,2.716002455815879,0.3465906517255255,32.04277410341388,3.93,-1.2139975441841213,1.235835118,-0.8892444662744745,80.86,-48.817225896586116
1904,53.0387560379,2.7160024558158864,18.727509676454908,36.90572746072738,5.16,-2.4439975441841137,1.616682664,17.11082701245491,102.89,-65.98427253927262
1905,66.87493964599999,15.041117345711031,18.796737590541756,36.997589500214765,6.37,8.671117345711032,2.026285714,16.770451876541756,126.64,-89.64241049978523
1906,70.71832400699999,15.459776973812597,18.865940075487483,37.01128803186618,7.58,7.8797769738125965,2.464644272,16.401295803487482,151.72,-114.70871196813383
1907,74.56170830699999,15.459776973812602,18.865940075487483,38.42765196347446,9.07,6.389776973812602,2.9317583120000004,15.934181763487484,179.46,-141.03234803652555
1908,78.405092668,15.459776973812607,19.434086313167583,39.41710844790694,10.68,4.7797769738126075,3.4276278920000003,16.006458421167583,205.82,-166.40289155209305
1909,89.93524569,16.079395535208132,19.434086313167583,39.46249452177315,12.379999999999999,3.699395535208133,3.9522529760000005,15.481833337167583,233.37,-193.90750547822685
1910,107.61481365299998,16.07939553520814,20.42784936017451,39.529222343390416,14.229999999999999,1.8493955352081404,4.519573376,15.908275984174509,262.39,-222.86077765660957
1911,123.75702783499999,17.93732024393879,20.635040901858,39.626648449429695,16.18,1.7573202439387892,5.117048564,15.517992337858,291.93,-252.3033515505703
1912,136.05585771699998,19.79475566683326,37.02365622252297,44.79131124890417,18.169999999999998,1.6247556668332628,5.74467854,31.278977682522974,322.93,-278.13868875109586
1913,145.279980159,19.794755666833268,37.42433567908057,47.67271752010739,20.36,-0.5652443331667314,6.402463303999999,31.02187237508057,356.15,-308.4772824798926
1914,159.116163761,21.65116220272843,39.2332231188929,47.96357814608231,22.619999999999997,-0.9688377972715685,7.0904028199999996,32.1428202988929,385.96,-337.9964218539177
1915,171.41499364299997,22.26978413320123,40.90337255054207,48.395415753667145,25.04,-2.770215866798768,7.808497124,33.094875426542075,415.29999999999995,-366.90458424633283
1916,189.86323846599998,30.927475409327336,49.263337743851885,48.97789214128428,27.64,3.2874754093273353,8.556746252,40.70659149185188,446.77,-397.7921078587157
