Year,Oil_Discoveries_Fixed,Oil_Cumulative_Discoveries_Fixed,Oil_Production_Fixed,Oil_Reserves_Fixed,Oil_discoveries_backdated,Oil_discoveries_cumulative_backdated,Oil_production_backdated,Oil_production_cumulative_backdated,Oil_reserves_backdated,Oil_Discoveries,Oil_Cumulative_Discoveries,Oil_Production,Oil_Cumulative_Production,Oil_Reserves,Oil_Discoveries_Richards_Fitted,Oil_Discoveries_Raw,Gas_Discoveries_Fixed,Gas_Cumulative_Discoveries_Fixed,Gas_Production_Fixed,Gas_Reserves_Fixed,Gas_Discoveries,Gas_Cumulative_Discoveries,Gas_Production,Gas_Cumulative_Production,Gas_Reserves,Gas_Discoveries_Raw,Coal_Discoveries_Fixed,Coal_Cumulative_Discoveries_Fixed,Coal_Production_Fixed,Coal_Reserves_Fixed,Coal_Discoveries,Coal_Cumulative_Discoveries,Coal_Production,Coal_Cumulative_Production,Coal_Reserves,Coal_Discoveries_Raw
1900,366.0,366.0,0.85,365.15,,,,,,0.0,0.0,0.85,0.85,-0.85,,0.0,183.0,183.0,0.265825512,182.734174488,0.0,1.99938,0.265825512,0.265825512,1.7335544880000002,0.0,0.0,0.0,19.26,-19.26,0.0,12.62327,19.26,19.26,-6.636730000000002,0.0
1901,123.49661401925253,489.49661401925255,0.95,488.54661401925256,29.97845,29.97845,1.5373829999999997,1.5373829999999997,28.441067,29.97845,29.97845,0.95,1.7999999999999998,28.17845,14.934477803266647,0.9925528,78.2806479662209,261.2806479662209,0.29458103,260.9860669362209,0.51032,2.5097,0.29458103,0.560406542,1.949293458,0.1752632,308.0978226723432,308.0978226723432,19.61,288.4878226723432,0.0,12.62327,19.61,38.870000000000005,-26.246730000000007,0.0
1902,124.25595992143806,613.7525739406906,1.03,612.7225739406906,7.6867686793,37.6652186793,0.7948672954,2.3322502953999997,35.332968383899996,7.6867686793,37.6652186793,1.03,2.83,34.8352186793,17.433067719525294,0.1752632,78.8140301271555,340.0946780933764,0.323336534,339.77134155937637,0.12758,2.63728,0.323336534,0.883743076,1.753536924,0.0438158,312.172402332151,620.2702250044943,20.08,600.1902250044942,3.7886,16.41187,20.08,58.95,-42.53813,3.7885999999999997
1903,125.00127318160459,738.7538471222952,1.1,737.6538471222951,1.5373537382999998,39.202572417599995,0.7948672954,3.1271175908,36.0754548268,1.5373537382999998,39.2025724176,1.1,3.93,35.2725724176,20.322247770104706,0.0,79.34142979968291,419.43610789305933,0.352092042,419.08401585105935,0.0,2.63728,0.352092042,1.235835118,1.401444882,0.0,316.24886170174904,936.5190867062433,21.91,914.6090867062434,28.24512,44.65699,21.91,80.86,-36.20301,28.24512
1904,125.7314510069362,864.4852981292313,1.23,863.2552981292313,13.8361836203,53.0387560379,0.7909608370999999,3.9180784279000003,49.12067761,13.8361836203,53.0387560379,1.23,5.16,47.87875603789999,23.65734297294282,43.336872,79.8622579958202,499.2983658888795,0.380847546,498.91751834287953,0.0,2.63728,0.380847546,1.616682664,1.020597336,11.629518000000001,320.3219156769166,1256.84100238316,22.03,1234.81100238316,4.857,49.51399,22.03,102.89,-53.37601,4.856999999999999
1905,126.44534870284548,990.9306468320767,1.21,989.7206468320767,13.8361836203,66.87493964599999,0.7948672954,4.7129457233,62.161993922699985,13.8361836203,66.87493965819999,1.21,6.37,60.5049396582,27.500369857941255,3.6627832,80.37589985373468,579.6742657426142,0.40960305,579.2646626926143,0.12758,2.76486,0.40960305,2.026285714,0.738574286,0.0438158,324.3857770510316,1581.2267794341915,23.75,1557.4767794341915,0.0828,49.59679,23.75,126.64,-77.04321,0.0828
1906,127.14177959612967,1118.0724264282064,1.21,1116.8624264282064,3.8433843366,70.71832400699999,0.7948672954,5.507813018699999,65.21051098829999,3.8433843366,70.71832399479999,1.21,7.58,63.13832399479999,31.920627823490015,0.1752632,80.88171418207318,660.5559799246874,0.438358558,660.1176213666874,0.12758,2.89244,0.438358558,2.464644272,0.427795728,0.0438158,328.43412319765605,1909.6609026318474,25.08,1884.5809026318475,0.0,49.59679,25.08,151.72,-102.12321,0.0
1907,127.81951513151695,1245.8919415597234,1.49,1244.4019415597234,3.8433843366,74.56170830699999,0.8717258985,6.3795389172,68.1821693898,3.8433843366,74.56170833139998,1.49,9.07,65.49170833139999,36.99530242372166,0.0,81.37903306578262,741.9350129904701,0.46711404,741.4678989504702,0.0,2.89244,0.46711404,2.9317583120000004,-0.0393183120000002,0.0,332.4600621050504,2242.120964736898,27.74,2214.380964736898,1.3958,50.99259,27.74,179.46,-128.46741,1.3958
1908,128.4772851604989,1374.3692267202223,1.61,1372.7592267202224,3.8433843366,78.405092668,1.8747821800999998,8.2543210973,70.15077157069999,3.8433843366,78.40509266799998,1.61,10.68,67.72509266799997,42.81007252747289,0.0,81.86716154253304,823.8021745330032,0.49586958,823.3063049530032,0.12758,3.02002,0.49586958,3.4276278920000003,-0.4076078920000001,0.36,336.4560980683481,2578.577062805246,26.36,2552.217062805246,0.9588,51.95139,26.36,205.82,-153.86861,0.9588
1909,129.11377844177593,1503.4830051619983,1.7,1501.7830051619983,11.530153015899998,89.93524569,1.964111184,10.2184322813,79.7168134087,11.530153015899998,89.93524568389998,1.7,12.38,77.55524568389998,49.45971167588335,1.589,82.34537735953576,906.1475518925389,0.524625084,905.6229268085389,0.0,3.02002,0.524625084,3.952252976000001,-0.9322329760000004,0.0,340.41409741838226,2918.9911602236284,27.55,2891.4411602236282,0.0,51.95139,27.55,233.37,-181.41861,0.0
1910,129.72764337357998,1633.2106485355782,1.85,1631.3606485355783,17.679567956899998,107.61481365299998,1.9511639157,12.169596196999999,95.44521745599998,17.679567956899998,107.61481364079998,1.85,14.23,93.38481364079998,57.04867229373418,2.5208,82.81293082126165,988.9604827138005,0.5673204,988.3931623138005,0.0,3.02002,0.5673204,4.519573376,-1.4995533760000002,0.6302,344.32525474731415,3263.316414970943,29.02,3234.296414970943,0.0,51.95139,29.02,262.39,-210.43861,0.0
1911,130.3174889787493,1763.5281375143275,1.95,1761.5781375143274,16.1422142186,123.75702783499999,1.964111184,14.133707380999999,109.623320454,16.1422142186,123.75702785939998,1.95,16.18,107.57702785939998,65.69163972249964,0.5257896,83.26904473908141,1072.229527452882,0.597475188,1071.6320522648818,0.0913901045037345,3.111410104503735,0.597475188,5.117048564,-2.0056384594962653,0.1314474,348.18006018352963,3611.4964751544726,29.54,3581.9564751544726,0.0,51.95139,29.54,291.93,-239.97861,0.0
1912,130.8818861635746,1894.410023677902,1.99,1892.420023677902,12.298829881999998,136.05585771699998,1.964111184,16.097818565,119.95803915199998,12.298829881999998,136.0558577414,1.99,18.17,117.8858577414,75.51404139266883,0.5257896,83.71291449453955,1155.9424419474215,0.627629976,1155.3148119714215,5.1854612970724725,8.296871401576208,0.627629976,5.74467854,2.5521928615762084,10.401886,351.96826836913453,3963.464743523607,31.0,3932.464743523607,5.0234,56.97479,31.0,322.93,-265.95521,5.0234
1913,131.41936927209207,2025.8293929499941,2.19,2023.639392949994,9.2241224115,145.279980159,1.964111184,18.061929748999997,127.21805040999999,9.2241224115,145.27998015289998,2.19,20.36,124.91998015289998,86.65249490042841,0.0,84.14370822847218,1240.0861501758936,0.657784764,1239.4283654118935,0.3467042732937802,8.643575674869988,0.657784764,6.402463303999999,2.2411123708699883,0.2544265,355.6788699042593,4319.1436134278665,33.22,4285.923613427866,2.678,59.65279,33.22,356.15,-296.49721,2.678
1914,131.92843795725878,2157.757830907253,2.26,2155.4978309072526,13.8361836203,159.116163761,1.964111184,20.026040932999997,139.090122828,13.8361836203,159.1161637732,2.26,22.62,136.49616377319998,99.25517736894213,5.6477896,84.56056716880703,1324.6467173447006,0.687939516,1323.9587778287007,1.4782071976788551,10.121782872548843,0.687939516,7.09040282,3.031380052548844,1.1491534,359.3000661415044,4678.443679569371,29.81,4648.6336795693705,0.0,59.65279,29.81,385.96,-326.30721,0.0
1915,132.40755939040977,2290.1653902976627,2.42,2287.7453902976627,12.298829881999998,171.41499364299997,1.9965666487999998,22.0226075818,149.39238606119997,12.298829881999998,171.4149936552,2.42,25.04,146.3749936552,113.4820973338424,0.1752632,84.96260611015843,1409.6093234548591,0.718094304,1408.891229150859,1.4172804613430323,11.539063333891876,0.718094304,7.808497124,3.730566209891877,1.0615218,362.8192483400984,5041.262927909469,29.34,5011.922927909469,0.0187999999999999,59.67159,29.34,415.3,-355.62841,0.0188
1916,132.85517082982645,2423.020561127489,2.6,2420.4205611274892,18.448244823,189.86323846599998,2.9449481606999997,24.967555742499997,164.8956827235,18.448244823,189.8632384782,2.6,27.64,162.22323847820002,129.50524957762673,5.3358952,85.34891405898519,1494.9582375138443,0.748249128,1494.2099883858443,6.92247824242885,18.461541576320727,0.748249128,8.556746252,9.904795324320729,5.3160773,366.2229823208753,5407.485910230344,31.47,5376.015910230344,0.0,59.67159,31.47,446.77,-387.09841,0.0
1917,133.26968256861565,2556.290243696105,2.87,2553.420243696105,11.530153015899998,201.393391488,3.0748928739,28.042448616399998,173.35094287159998,11.530153015899998,201.3933914941,2.87,30.51,170.8833914941,147.5086329319352,9.311863200000001,85.71855505805749,1580.6767925719018,0.778403916,1579.898388655902,0.0304633681679115,18.49200494448864,0.778403916,9.335150168,9.156854776488638,1.3122158000000002,369.49699989615226,5776.982910126497,32.77,5744.212910126496,6.8448,66.51639,32.77,479.54,-413.02361,6.8448
1918,133.64948128083236,2689.939724976937,2.85,2687.0897249769373,9.6084608476,211.00185235999996,3.0748928739,31.117341490299996,179.88451086969997,9.6084608476,211.0018523417,2.85,33.36,177.64185234169997,167.6881111522274,1.3299935200000002,86.07056920440465,1666.7473617763064,0.808558704,1665.9388030723064,0.4218301045037346,18.91383504899237,0.808558704,10.143708872,8.770126176992372,0.33249838000000004,372.6261984805937,6149.60910860709,32.19,6117.4191086070905,1.104,67.62039,32.19,511.73,-444.10961,1.104
1919,133.99293378334488,2823.9326587602823,3.25,2820.6826587602823,16.9108910908,227.91274346299997,3.0783953108999995,34.1957368012,193.71700666179999,16.9108910908,227.9127434325,3.25,36.61,191.3027434325,190.25109762272788,0.5257896,86.403973874806,1753.1513356511125,0.838713492,1752.3126221591126,0.0913901045037345,19.005225153496102,0.838713492,10.982422364,8.022802789496106,0.1314474,375.5946504130366,6525.203759020127,27.3,6497.903759020127,0.69,68.31039,27.3,539.03,-470.71961,0.69
