Year,Oil_Discoveries,Oil_Cumulative_Discoveries,Oil_Production,Oil_Cumulative_Production,Oil_Reserves,Gas_Discoveries,Gas_Cumulative_Discoveries,Gas_Production,Gas_Cumulative_Production,Gas_Reserves,Coal_Discoveries,Coal_Cumulative_Discoveries,Coal_Production,Coal_Cumulative_Production,Coal_Reserves
1901,33.1190662236432,33.1190662236432,1.5373829999999997,1.5373829999999997,31.581683223643203,,,,,,,,,,
1902,10.988675469282766,44.10774169292597,0.7948672954,2.3322502953999997,41.77549139752597,,,,,,,,,,
1903,5.3598416229541614,49.467583315880134,0.7948672954,3.1271175907999997,46.340465725080136,,,,,,,,,,
1904,17.603658018873396,67.07124133475352,0.7909608370999999,3.9180784278999994,63.153162906853524,,,,,,,,,,
1905,17.53809984859982,84.60934118335334,0.7948672954,4.712945723299999,79.89639546005334,,,,,,,,,,
1906,8.051828709575876,92.66116989292921,0.7948672954,5.5078130186999985,87.15335687422922,,,,,,,,,,
1907,8.628659213279626,101.28982910620883,0.8717258985,6.379538917199999,94.91029018900883,,,,,,,,,,
1908,9.400890438152082,110.69071954436092,1.8747821800999998,8.254321097299998,102.43639844706092,,,,,,,,,,
1909,17.47391088155157,128.1646304259125,1.964111184,10.218432281299998,117.9461981446125,,,,,,,,,,
1910,23.787180847769587,151.95181127368207,1.9511639157,12.169596196999999,139.78221507668206,,,,,,,,,,
1911,22.502219047949456,174.45403032163154,1.964111184,14.133707380999999,160.32032294063154,,,,,,,,,,
1912,19.17689278423379,193.63092310586532,1.964111184,16.097818564999997,177.53310454086534,,,,,,,,,,
1913,16.851130940594306,210.48205404645964,1.964111184,18.061929748999997,192.42012429745964,,,,,,,,,,
1914,22.10781416407545,232.5898682105351,1.964111184,20.026040932999997,212.5638272775351,,,,,,,,,,
1915,21.42655863891428,254.01642684944937,1.9965666487999998,22.022607581799996,231.99381926764937,,,,,,,,,,
1916,28.233747564631564,282.25017441408096,2.9449481606999997,24.967555742499997,257.28261867158096,,,,,,,,,,
1917,22.46898244569132,304.7191568597723,3.0748928739,28.042448616399998,276.6767082433723,,,,,,,,,,
1918,22.33358787533404,327.05274473510633,3.0748928739,31.1173414903,295.9354032448063,,,,,,,,,,
1919,31.063481648001655,358.11622638310797,3.0783953108999995,34.1957368012,323.920489581908,,,,,,,,,,
1920,36.359704685456855,394.4759310685648,3.9162001036999996,38.1119369049,356.3639941636648,,,,,,,,,,
1921,32.340490337797156,426.816421406362,4.1338545696999995,42.2457914746,384.570629931762,,,,,,,,,,
1922,35.86418050137651,462.6806019077385,5.1214402143,47.3672316889,415.3133702188385,,,,,,,,,,
1923,44.18330834251552,506.863910250254,6.0441255493999995,53.4113572383,453.45255301195397,,,,,,,,,,
1924,36.981759185788675,543.8456694360426,6.1733891793,59.5847464176,484.2609230184426,,,,,,,,,,
1925,49.919500991482494,593.7651704275252,6.1733891793,65.7581355969,528.0070348306251,,,,,,,,,,
1926,132.78592651651522,726.5510969440404,6.295171787499999,72.0533073844,654.4977895596404,,,,,,,,,,
1927,163.8768568594951,890.4279538035355,7.255788227999999,79.3090956124,811.1188581911355,,,,,,,,,,
1928,232.7925579953782,1123.2205117989138,7.3648946763,86.6739902887,1036.5465215102138,,,,,,,,,,
1929,61.67228041287632,1184.89279221179,8.205907696999999,94.8798979857,1090.01289422609,,,,,,,,,,
1930,142.372030294713,1327.2648225065032,8.3403095338,103.2202075195,1224.0446149870031,,,,,,,,,,
1931,41.89430417820014,1369.1591266847033,8.260878395999999,111.48108591549999,1257.6780407692033,,,,,,,,,,
1932,60.9512484287973,1430.1103751135006,7.569102180299999,119.05018809579998,1311.0601870177006,,,,,,,,,,
1933,46.463416050315374,1476.573791163816,8.2010585935,127.25124668929999,1349.322544474516,,,,,,,,,,
1934,60.6771638305716,1537.2509549943875,9.3558630013,136.6071096906,1400.6438453037874,,,,,,,,,,
1935,64.1653739554884,1601.4163289498758,9.520635987799999,146.1277456784,1455.2885832714758,,,,,,,,,,
1936,163.77668435021306,1765.193013300089,10.5610253735,156.6887710519,1608.504242248189,,,,,,,,,,
1937,109.1063013653753,1874.2993146654642,11.5211842591,168.20995531100002,1706.0893593544642,,,,,,,,,,
1938,346.08649114751626,2220.3858058129804,11.733130949,179.94308626000003,2040.4427195529804,,,,,,,,,,
1939,66.59690366391892,2286.9827094768993,12.682421116899999,192.62550737690003,2094.357202099999,,,,,,,,,,
1940,186.07656134617335,2473.059270823073,12.808286192799999,205.43379356970004,2267.625477253373,,,,,,,,,,
1941,120.14193816971063,2593.2012089927834,12.838079336999998,218.27187290670005,2374.9293360860834,,,,,,,,,,
1942,147.431264282374,2740.6324732751573,12.849576000899999,231.12144890760004,2509.511024367557,,,,,,,,,,
1943,69.1020109274084,2809.734484202566,13.776957982199997,244.89840688980004,2564.836077312766,,,,,,,,,,
1944,109.31100906745027,2919.0454932700163,15.847924976799998,260.74633186660003,2658.2991614034163,,,,,,,,,,
1945,143.3775855868379,3062.4230788568543,15.995037835,276.74136970160004,2785.6817091552543,,,,,,,,,,
1946,107.603342965459,3170.0264218223133,16.0474118982,292.7887815998,2877.237640222513,,,,,,,,,,
1947,112.04513193075653,3282.07155375307,17.877359639499996,310.66614123930003,2971.40541251377,,,,,,,,,,
1948,941.6563497071512,4223.727903460222,20.0433887108,330.70952995010003,3893.0183735101214,,,,,,,,,,
1949,177.97115146275,4401.699054922971,20.3613879206,351.07091787070004,4050.628137052271,,,,,,,,,,
1950,122.0209957829897,4523.720050705961,22.6499107381,373.72082860880005,4149.999222097161,,,,,,,,,,
1951,326.76749881711316,4850.4875495230735,25.3635421103,399.08437071910004,4451.403178803974,,,,,,,,,,
1952,110.31054811719909,4960.798097640272,26.7481685077,425.8325392268,4534.9655584134725,,,,,,,,,,
1953,296.55685123294444,5257.354948873217,28.817925213499997,454.6504644403,4802.704484432917,,,,,,,,,,
1954,175.151442296445,5432.506391169662,30.4031151274,485.0535795677,4947.452811601962,,,,,,,,,,
1955,215.72058958550073,5648.226980755162,34.3657115139,519.4192910816,5128.807689673562,,,,,,,,,,
1956,245.64670155023765,5893.8736823054,36.3321425706,555.7514336522,5338.1222486532,,,,,,,,,,
1957,317.6885045223663,6211.562186827766,38.484005233699996,594.2354388859001,5617.3267479418655,,,,,,,,,,
1958,394.6302429974017,6606.192429825168,39.9345038963,634.1699427822001,5972.022487042967,,,,,,,,,,
1959,226.70878132701705,6832.901211152185,43.105703960599996,677.2756467428001,6155.625564409385,,,,,,,,,,
1960,401.21361927454643,7234.114830426732,45.871117817999995,723.1467645608001,6510.968065865932,,,,,,,,,,
1961,354.9002637857642,7589.015094212496,49.2390705092,772.3858350700001,6816.629259142495,,,,,,,,,,
1962,349.1468278789869,7938.161922091483,53.6434537898,826.0292888598001,7112.132633231682,,,,,,,,,,
1963,245.43020522201675,8183.592127313499,58.222346187599996,884.2516350474001,7299.340492266099,,,,,,,,,,
1964,478.7203674806699,8662.312494794169,62.644454409,946.8960894564001,7715.416405337769,,,,,,,,,,
1965,351.8429501673975,9014.155444961567,66.450149066,1013.3462385224001,8000.809206439167,,,,,,,,,,
1966,209.74650564273318,9223.9019506043,72.89789432799999,1086.2441328504,8137.6578177539,,,,,,,,,,
1967,251.10652699160815,9475.00847759591,78.711336092,1164.9554689424,8310.05300865351,,,,,,,,,,
1968,376.08971819157955,9851.098195787488,84.607974536,1249.5634434784001,8601.534752309088,,,,,,,,,,
1969,290.73850590904044,10141.83670169653,93.384630441,1342.9480739194,8798.888627777129,,,,,,,,,,
1970,179.56263268386633,10321.399334380396,100.69272025199999,1443.6407941714,8877.758540208995,,,,,,,,,,
1971,336.6193360370337,10658.01867041743,106.69336052399998,1550.3341546954,9107.68451572203,,,,,,,,,,
1972,154.16438699385586,10812.183057411286,113.376297325,1663.7104520204,9148.472605390887,,,,,,,,,,
1973,281.7901424984932,11093.97319990978,122.61844728,1786.3288993004,9307.64430060938,,,,,,,,,,
1974,220.33976997741055,11314.31296988719,123.191978918,1909.5208782184,9404.79209166879,,,,,,,,,,
1975,222.38699022714508,11536.699960114336,118.293368245,2027.8142464634,9508.885713650936,,,,,,,,,,
1976,204.85623649992002,11741.556196614256,124.86559663399998,2152.6798430974,9588.876353516856,,,,,,,,,,
1977,280.1278943515701,12021.684090965826,131.579389675,2284.2592327724,9737.424858193426,,,,,,,,,,
1978,188.1776405617095,12209.861731527535,133.39265536199997,2417.6518881344,9792.209843393135,,,,,,,,,,
1979,280.5889795009039,12490.45071102844,138.42695931499998,2556.0788474494,9934.37186357904,,,,,,,,,,
1980,119.14413450335577,12609.594845531796,134.044716814,2690.1235642634,9919.471281268396,,,,,,,,,,
1981,185.30164893236142,12794.896494464158,124.87686504199999,2815.0004293054003,9979.896065158757,,,,,,,,,,
