Year,Oil_discoveries_backdated,Oil_production_backdated,Oil_reserves_backdated,Oil_Discoveries,Oil_Production,Oil_Reserves,Gas_Discoveries,Gas_Production,Gas_Reserves,Coal_Discoveries,Coal_Production,Coal_Reserves
1900,,,,366,0.85,365.15,183,0.265825512,182.7341745,0,19.26,-19.26
1901,29.97845,1.537383,28.441067,489.496614,1.8,487.696614,261.280648,0.560406542,260.7202414,127.99642,38.87,89.12642
1902,37.66521868,2.332250295,35.33296838,613.7525739,2.83,610.9225739,340.0946781,0.883743076,339.210935,260.2582549,58.95,201.3082549
1903,39.20257242,3.127117591,36.07545483,738.7538471,3.93,734.8238471,419.4361079,1.235835118,418.2002728,396.9273453,80.86,316.0673453
1904,53.03875604,3.918078428,49.12067761,864.4852981,5.16,859.3252981,499.2983659,1.616682664,497.6816832,538.150183,102.89,435.260183
1905,66.87493965,4.712945723,62.16199392,990.9306468,6.37,984.5606468,579.6742657,2.026285714,577.64798,684.0780488,126.64,557.4380488
1906,70.71832401,5.507813019,65.21051099,1118.072426,7.58,1110.492426,660.5559799,2.464644272,658.0913357,834.867152,151.72,683.147152
1907,74.56170831,6.379538917,68.18216939,1245.891942,9.07,1236.821942,741.935013,2.931758312,739.0032547,990.6787695,179.46,811.2187695
1908,78.40509267,8.254321097,70.15077157,1374.369227,10.68,1363.689227,823.8021745,3.427627892,820.3745466,1151.679385,205.82,945.8593845
1909,89.93524569,10.21843228,79.71681341,1503.483005,12.38,1491.103005,906.1475519,3.952252976,902.1952989,1318.040823,233.37,1084.670823
1910,107.6148137,12.1695962,95.44521746,1633.210649,14.23,1618.980649,988.9604827,4.519573376,984.4409093,1489.940387,262.39,1227.550387
1911,123.7570278,14.13370738,109.6233205,1763.528138,16.18,1747.348138,1072.229527,5.117048564,1067.112479,1667.560982,291.93,1375.630982
1912,136.0558577,16.09781857,119.9580392,1894.410024,18.17,1876.240024,1155.942442,5.74467854,1150.197763,1851.091237,322.93,1528.161237
1913,145.2799802,18.06192975,127.2180504,2025.829393,20.36,2005.469393,1240.08615,6.402463304,1233.683687,2040.725614,356.15,1684.575614
